Homicidio_Doloso_2019,homicidio_Doloso_2020,Latrocinio_2019,Latrocinio_2020,Lesao_corporal_2019,Lesao_corporal_2020,Policia_CVLI_2019,Policia_CVLI_2020,MDIP_2019,MDIP_2020,MVI_2019,MVI_2020,Taxa_2019,Taxa_2020,variacao_2019,id,nome,sigla,lat,lng
1068,1218.0,20,23.0,7,10.0,3,2,87,86.0,1095,1251.0,32.810394572711274,37.32609129585985,13.763006455595384,27,Alagoas,AL,-9.513972997057161,-36.624727829390096
2155,3934.0,37,48.0,31,30.0,2,10,136,143.0,2359,4155.0,25.832017641548838,45.226444070562835,75.07902285503063,23,Ceará,CE,-5.093337620215221,-39.615607717777706
422,384.0,25,33.0,6,5.0,-,1,8,11.0,461,433.0,15.28885657924934,14.172794845685102,-7.299837811802101,53,Distrito Federal,DF,-15.78074635417839,-47.79734134772936
987,1103.0,26,39.0,10,20.0,-,1,41,46.0,1064,1208.0,26.47655307130504,29.724029121674626,12.265478975392607,32,Espírito Santo,ES,-19.57507804004495,-40.67084739860012
1623,1468.0,59,46.0,36,22.0,6,3,533,631.0,2251,2167.0,32.07304732705133,30.463032470471806,-5.019837498327107,52,Goiás,GO,-16.04210897501678,-49.623607809168256
1401,1859.0,76,75.0,13,13.0,1,5,72,98.0,1562,2045.0,22.077173714707794,28.743718197430127,30.196548565820656,21,Maranhão,MA,-5.060432723213908,-45.27915285092317
842,810.0,41,27.0,23,25.0,3,1,73,130.0,906,992.0,26.001114661471803,28.13210746918797,8.195774817584468,51,Mato Grosso,MT,-12.948919197231204,-55.91197470499469
2764,2176.0,138,103.0,32,42.0,28,13,563,502.0,3497,2823.0,40.64924882582721,32.482830873532706,-20.089960302306565,15,Pará,PA,-3.9748149587927695,-53.06419726353542
907,1132.0,26,26.0,9,8.0,2,2,26,38.0,942,1166.0,23.443758746301448,28.866552108211444,23.131074758929216,25,Paraíba,PB,-7.120897825681026,-36.83208467669344
1780,2008.0,99,60.0,52,45.0,1,2,288,373.0,2219,2486.0,19.407104644525077,21.585782211092624,11.226185494816576,41,Paraná,PR,-24.635840250905304,-51.616399766770726
3257,3543.0,136,124.0,19,14.0,9,12,73,115.0,3412,3681.0,35.7013147647433,38.27747812875229,7.215878129376541,26,Pernambuco,PE,-8.326050140155997,-37.99829917224687
539,660.0,37,41.0,11,6.0,2,7,42,36.0,587,707.0,17.933372784716735,21.545156453795236,20.140013328427276,22,Piauí,PI,-7.387435122166961,-42.96849367390272
698,689.0,28,20.0,14,15.0,-,2,78,86.0,818,810.0,11.41694632137057,11.168559484712999,-2.1755978320808445,42,Santa Catarina,SC,-27.24732967999295,-50.474101128081166
772,761.0,25,28.0,4,2.0,2,3,166,196.0,967,987.0,42.06732860717555,42.56471604978735,1.1823604185956293,28,Sergipe,SE,-10.584716600473609,-37.443872182032194
5013,5368.0,142,108.0,74,90.0,8,11,773,1137.0,6002,6703.0,40.35483206419336,44.89427575547026,11.248823149743025,29,Bahia,BA,-12.475101109319654,-41.72080360757986
456,467.0,17,17.0,9,9.0,1,4,62,21.0,482,493.0,17.3444558554811,17.548268416605147,1.1750876638752406,50,Mato Grosso do Sul,MS,-20.32747497073297,-54.84556396611739
2722,2550.0,77,102.0,30,30.0,6,5,107,120.0,2829,2682.0,13.364013088891095,12.595886301884414,-5.747725491568023,31,Minas Gerais,MG,-18.456154584964207,-44.6733854717212
4004,3544.0,117,87.0,45,31.0,41,44,1814,1245.0,5980,4907.0,34.63666228147987,28.256055488052098,-18.421540567549044,33,Rio de Janeiro,RJ,-22.188569383343513,-42.65166671592027
1074,1224.0,62,63.0,128,57.0,12,5,160,145.0,1264,1344.0,36.04371212594312,38.028784734159274,5.5074033475796424,24,Rio Grande do Norte,RN,-5.839525142785053,-36.673283365190066
1815,1780.0,70,61.0,28,26.0,6,-,99,148.0,2012,2015.0,17.68443116998773,17.639891121164343,-0.25186022889429616,43,Rio Grande do Sul,RS,-29.705809450574908,-53.319973815406755
2906,3038.0,199,183.0,104,122.0,34,49,867,814.0,4076,4157.0,8.876490451707744,8.980470727456797,1.171412015984874,35,São Paulo,SP,-22.26354108814857,-48.733659169820434
361,403.0,22,17.0,8,10.0,-,-,16,24.0,407,454.0,25.87633021503421,28.549006192744777,10.328651534048428,17,Tocantins,TO,-10.149999699710307,-48.329160257758666
281,280.0,13,12.0,2,2.0,1,1,23,27.0,296,294.0,33.56256413454506,32.86862611378805,-2.0675953660011293,12,Acre,AC,-9.212917040732787,-70.47308295750118
297,226.0,15,8.0,27,13.0,1,-,122,112.0,461,359.0,54.509057844633816,41.658302128286685,-23.575450071023806,16,Amapá,AP,1.4433167174953556,-51.95601261060682
1014,954.0,47,46.0,23,19.0,1,6,88,97.0,1172,1116.0,28.277779480127982,26.52271518453963,-6.2065138347291775,13,Amazonas,AM,-4.154222690361328,-64.65318677086589
362,379.0,14,14.0,4,1.0,2,4,22,20.0,402,414.0,22.61953326112338,23.045322467519455,1.8823960754658309,11,Rondônia,RO,-10.91332465228205,-62.84169849643017
180,147.0,18,17.0,9,5.0,-,1,12,15.0,219,184.0,36.15287217235841,29.1517013344825,-19.365462319281036,14,Roraima,RR,2.084089677137443,-61.39916185757006
